0:   (1+0j)
190:   (0.9771106956897623+0j)
191:   (0.9977225767521593+0j)
192:   (0.9926937681506891+0j)
193:   (0.9919616662289171+0j)
194:   (0.9853575516980871+0j)
195:   (0.9828372733439824+0j)
196:   (0.9910772253447628+0j)
197:   (0.9855278632483512+0j)
198:   (0.9852477198250147+0j)
199:   (0.9805651618309853+0j)
200:   (0.9738226041520338+0j)
201:   (0.9921204209127733+0j)
202:   (0.9907350799083877+0j)
203:   (0.98895113003993+0j)
204:   (0.988019420354053+0j)
205:   (0.9837379510773556+0j)
206:   (0.9939037708234839+0j)
207:   (0.9944598877153231+0j)
208:   (0.9927544511027504+0j)
209:   (0.9912075904135926+0j)
210:   (0.9855144033494981+0j)
211:   (0.9932635855908694+0j)
212:   (0.9901349242255417+0j)
213:   (0.983911584236946+0j)
214:   (0.9773097732300796+0j)
215:   (0.9669954598490746+0j)
216:   (0.9905941875693338+0j)
217:   (0.985369238268963+0j)
218:   (0.9799216875801974+0j)
219:   (0.9763610720072371+0j)
220:   (0.9737588551841457+0j)
221:   (0.9961267176535721+0j)
222:   (0.9939480060177337+0j)
223:   (0.9851412805274321+0j)
224:   (0.97999360297585+0j)
225:   (0.9737193194755185+0j)
226:   (0.9919003662950975+0j)
227:   (0.9866826352152688+0j)
228:   (0.9822075795930942+0j)
229:   (0.989065628757947+0j)
230:   (0.9772746563949353+0j)
231:   (0.9994075771152862+0j)
232:   (0.9906457044805344+0j)
233:   (0.9911434766818041+0j)
234:   (0.985321506627972+0j)
235:   (0.9781446237143393+0j)
236:   (0.9996165121361812+0j)
237:   (0.9986082051413261+0j)
238:   (0.9913955061826107+0j)
239:   (0.9864874879624654+0j)
240:   (0.9805450337218237+0j)
241:   (0.998925203545416+0j)
242:   (0.9879205277881523+0j)
243:   (0.9837611315395416+0j)
244:   (0.982763390636287+0j)
245:   (0.9764463869221102+0j)
246:   (0.997367637619996+0j)
247:   (0.9908574728946188+0j)
248:   (0.9876370876114406+0j)
249:   (0.9805756535458683+0j)
250:   (0.9784702921928948+0j)
251:   (0.9966511746321858+0j)
252:   (0.9881016451649323+0j)
253:   (0.9807449759671877+0j)
254:   (0.974686826378622+0j)
255:   (0.9684644366683758+0j)
256:   (0.9984023977024424+0j)
257:   (0.9907135238837598+0j)
258:   (0.9864881711153262+0j)
259:   (0.9840373306700334+0j)
260:   (0.9799483804175104+0j)
261:   (0.9993425859845836+0j)
262:   (0.9990508120972268+0j)
263:   (0.9959878822755298+0j)
264:   (0.9913243375024303+0j)
265:   (0.9908767122441439+0j)
266:   (0.9987465041094017+0j)
267:   (0.9907382715189892+0j)
268:   (0.9844640320756937+0j)
269:   (0.9805858536699252+0j)
270:   (0.9796004782820347+0j)
271:   (0.9956715633700712+0j)
272:   (0.9909768513260061+0j)
273:   (0.9895839386837233+0j)
274:   (0.9846775488498779+0j)
275:   (0.979860204087418+0j)
276:   (0.9930883550491292+0j)
277:   (0.992514535907217+0j)
278:   (0.9912307230561729+0j)
279:   (0.986368286514493+0j)
280:   (0.9788195105531432+0j)
281:   (0.995534480812776+0j)
282:   (0.9926108476478005+0j)
283:   (0.9875897560901032+0j)
284:   (0.9846258947392662+0j)
285:   (0.9798932462566188+0j)
286:   (0.9974914543294706+0j)
287:   (0.9964491129198733+0j)
288:   (0.9916802736910784+0j)
289:   (0.9854942462576226+0j)
290:   (0.9822530088362857+0j)
291:   (0.9959158530414238+0j)
292:   (0.9910226031533832+0j)
293:   (0.9857636014053394+0j)
294:   (0.9818286485509437+0j)
295:   (0.9750565191982248+0j)
296:   (0.9945642605565369+0j)
297:   (0.9898274072048617+0j)
298:   (0.9876299156033235+0j)
299:   (0.9854365034591956+0j)
300:   (0.9814184138894961+0j)
301:   (0.9925591398247772+0j)
302:   (0.9907482240464601+0j)
303:   (0.986177873841891+0j)
304:   (0.9824015260302438+0j)
305:   (0.9787439063750186+0j)
306:   (0.9957892068610797+0j)
307:   (0.9912452894825359+0j)
308:   (0.9871787808128784+0j)
309:   (0.9862085460138906+0j)
310:   (0.9818319074609742+0j)
311:   (1.0035907930654864+0j)
312:   (0.9987685818387515+0j)
313:   (0.9941438586092386+0j)
314:   (0.9852636355838854+0j)
315:   (0.9797813756610368+0j)
316:   (0.9975894535038841+0j)
317:   (0.9934324853458281+0j)
318:   (0.9904155563420143+0j)
319:   (0.9866041507487158+0j)
320:   (0.9808344670373949+0j)
321:   (0.9926624772288055+0j)
322:   (0.9916556698945949+0j)
323:   (0.987065292301244+0j)
324:   (0.9834017303082196+0j)
325:   (0.9808275131177739+0j)
326:   (0.9963029324191102+0j)
327:   (0.9910974636947649+0j)
328:   (0.9903795369976374+0j)
329:   (0.9857381967880047+0j)
330:   (0.9790891201805166+0j)
331:   (0.9959774998412675+0j)
332:   (0.9905212069853682+0j)
333:   (0.9881934836261138+0j)
334:   (0.9847104705385639+0j)
335:   (0.979757243917548+0j)
336:   (0.994096742773943+0j)
337:   (0.9870189917829334+0j)
338:   (0.9829992964442419+0j)
339:   (0.9773831479968712+0j)
340:   (0.9764599675765512+0j)
341:   (0.9971914921935339+0j)
342:   (0.991911759241818+0j)
343:   (0.9860742359374947+0j)
344:   (0.9851712863408579+0j)
345:   (0.9791240868374133+0j)
346:   (0.997667341131908+0j)
347:   (0.9946395202343331+0j)
348:   (0.9918254630711962+0j)
349:   (0.982683340859708+0j)
350:   (0.979798653853788+0j)
351:   (0.9943938692409148+0j)
352:   (0.9890753913032855+0j)
353:   (0.9804120630858486+0j)
354:   (0.971969195015394+0j)
355:   (0.9691472732510343+0j)
356:   (1.0002537565183647+0j)
357:   (0.9955757655983115+0j)
358:   (0.9942731617606296+0j)
359:   (0.9926466217403331+0j)
360:   (0.9916768729627936+0j)
361:   (0.9940844538468443+0j)
362:   (0.9928417776178304+0j)
363:   (0.9827599784746635+0j)
364:   (0.9760650810225303+0j)
365:   (0.9715475786208744+0j)
366:   (0.996355447092664+0j)
367:   (0.9893161486375355+0j)
368:   (0.9830373371835559+0j)
369:   (0.9776765252710202+0j)
370:   (0.9732927585655697+0j)
371:   (0.9933632407450455+0j)
372:   (0.989970807569232+0j)
373:   (0.9824756035435+0j)
374:   (0.9731770730863938+0j)
375:   (0.9641282099470512+0j)
376:   (0.9923172283943306+0j)
377:   (0.9900329522972465+0j)
378:   (0.9811033750207944+0j)
379:   (0.971274103443026+0j)
380:   (0.9652748908406951+0j)
381:   (0.9941256711387305+0j)
382:   (0.9960034210272884+0j)
383:   (0.9945622063666762+0j)
384:   (0.9895901007397138+0j)
385:   (0.9885212536634508+0j)
386:   (0.9967859701321629+0j)
387:   (0.9857217172476378+0j)
388:   (0.9810973955808596+0j)
389:   (0.9754013336490769+0j)
390:   (0.9699428788173459+0j)
