0:   (1+0j)
190:   (0.9976755307706151+0j)
191:   (0.999317758785567+0j)
192:   (0.9991667414308434+0j)
193:   (0.9982771275897816+0j)
194:   (0.9973219456338368+0j)
195:   (0.9969684492063597+0j)
196:   (0.9966730569403183+0j)
197:   (0.9964215028032486+0j)
198:   (0.9963536393839175+0j)
199:   (0.9953528995461579+0j)
200:   (0.9945356886087282+0j)
201:   (0.9993287923242203+0j)
202:   (0.9989365867116028+0j)
203:   (0.9983199798170472+0j)
204:   (0.9977298279866875+0j)
205:   (0.9974809624121624+0j)
206:   (0.9961979256011052+0j)
207:   (0.9957009648428545+0j)
208:   (0.9953854951641138+0j)
209:   (0.9948947834061298+0j)
210:   (0.9951710482898247+0j)
211:   (0.9996033596243855+0j)
212:   (0.9987109359168528+0j)
213:   (0.998575740610595+0j)
214:   (0.9980582269530494+0j)
215:   (0.9981981307456707+0j)
216:   (0.9979013450459001+0j)
217:   (0.9971323576373383+0j)
218:   (0.9963261681506829+0j)
219:   (0.9961517504107338+0j)
220:   (0.9961008291549647+0j)
221:   (0.9992874181321555+0j)
222:   (0.9983718694929851+0j)
223:   (0.9974165795203744+0j)
224:   (0.9965542693586356+0j)
225:   (0.9963354663300418+0j)
226:   (0.9959070695503133+0j)
227:   (0.9957726690332166+0j)
228:   (0.9954649603913542+0j)
229:   (0.9954721467164905+0j)
230:   (0.9947212319183301+0j)
231:   (0.9992449165941664+0j)
232:   (0.9987035229278898+0j)
233:   (0.9976878036902803+0j)
234:   (0.9973940351323859+0j)
235:   (0.9974323333666288+0j)
236:   (0.9962261021374186+0j)
237:   (0.9953255069178033+0j)
238:   (0.9950587388413809+0j)
239:   (0.9948864911912567+0j)
240:   (0.9941057232781533+0j)
241:   (0.9996663333887871+0j)
242:   (0.9997923241504421+0j)
243:   (0.999913180334601+0j)
244:   (0.9991840533231996+0j)
245:   (0.9991158082892817+0j)
246:   (0.9982196478961655+0j)
247:   (0.9975501677547982+0j)
248:   (0.9972322086308084+0j)
249:   (0.996892711230335+0j)
250:   (0.996589741416972+0j)
251:   (0.9994971168578757+0j)
252:   (0.9987885254645146+0j)
253:   (0.998515575112783+0j)
254:   (0.9983029391621244+0j)
255:   (0.9977274074543322+0j)
256:   (0.9970847326699618+0j)
257:   (0.9968172033773736+0j)
258:   (0.9957503559431168+0j)
259:   (0.9949933194753555+0j)
260:   (0.9944506875075079+0j)
261:   (0.9993518400900584+0j)
262:   (0.998962873790764+0j)
263:   (0.998265647447988+0j)
264:   (0.9972378690670896+0j)
265:   (0.9974187198170998+0j)
266:   (0.9970428885344172+0j)
267:   (0.9959306769199832+0j)
268:   (0.9950978700912576+0j)
269:   (0.9943954448827937+0j)
270:   (0.9931028841658237+0j)
271:   (0.9995127111095976+0j)
272:   (0.998918779009472+0j)
273:   (0.9979238979963206+0j)
274:   (0.9970008555731644+0j)
275:   (0.9969762211793692+0j)
276:   (0.9965846531498634+0j)
277:   (0.9956852938185561+0j)
278:   (0.9946364781897401+0j)
279:   (0.9941103280817434+0j)
280:   (0.993750258623747+0j)
281:   (0.9986103765769561+0j)
282:   (0.9975100887010329+0j)
283:   (0.9967829275243887+0j)
284:   (0.9967326743285747+0j)
285:   (0.9955357606634376+0j)
286:   (0.9949355653508197+0j)
287:   (0.9944509145445993+0j)
288:   (0.993813917640132+0j)
289:   (0.9929550077716959+0j)
290:   (0.9927571136363581+0j)
291:   (0.9997217231691938+0j)
292:   (0.9990148487489653+0j)
293:   (0.9986530191447577+0j)
294:   (0.998112907644828+0j)
295:   (0.9976267239033323+0j)
296:   (0.9972994256790781+0j)
297:   (0.9960618927951421+0j)
298:   (0.9959806001380846+0j)
299:   (0.9956834710017037+0j)
300:   (0.9955353108744905+0j)
301:   (1.000075814029178+0j)
302:   (0.9995717910164555+0j)
303:   (0.9984166989693165+0j)
304:   (0.9983453209803336+0j)
305:   (0.9981061279734793+0j)
306:   (0.9979387916804212+0j)
307:   (0.9972943401844644+0j)
308:   (0.9962533174696518+0j)
309:   (0.9950480452401931+0j)
310:   (0.9945185802654828+0j)
311:   (0.9999802795295961+0j)
312:   (0.9994869032517758+0j)
313:   (0.9994899111076522+0j)
314:   (0.9989894856675574+0j)
315:   (0.9977184168121929+0j)
316:   (0.9973273097884238+0j)
317:   (0.9967296166620832+0j)
318:   (0.9957824430937916+0j)
319:   (0.995898293552967+0j)
320:   (0.9961651331368045+0j)
321:   (0.9992218022327163+0j)
322:   (0.998635762320534+0j)
323:   (0.9973400325113146+0j)
324:   (0.9970962312606666+0j)
325:   (0.9966372156653911+0j)
326:   (0.9962075166676455+0j)
327:   (0.9960696548635842+0j)
328:   (0.9961257493949567+0j)
329:   (0.9955762288938627+0j)
330:   (0.9953562347497343+0j)
331:   (0.9995286000699567+0j)
332:   (0.9993403306999957+0j)
333:   (0.9981794218785144+0j)
334:   (0.9978451827704733+0j)
335:   (0.9978535104176744+0j)
336:   (0.9977402198121257+0j)
337:   (0.9970376881217028+0j)
338:   (0.9964330267039604+0j)
339:   (0.9962299657568201+0j)
340:   (0.9964841750047716+0j)
341:   (0.9993968464126681+0j)
342:   (0.9990304835106025+0j)
343:   (0.9988118533525732+0j)
344:   (0.9987391676602433+0j)
345:   (0.9981682676291005+0j)
346:   (0.9974066203660636+0j)
347:   (0.9965608793045408+0j)
348:   (0.9958508149140433+0j)
349:   (0.9953897446776758+0j)
350:   (0.9946832594513969+0j)
351:   (0.9999017556734983+0j)
352:   (0.9993274663212852+0j)
353:   (0.9982316276841107+0j)
354:   (0.9977672328701662+0j)
355:   (0.9973763272029716+0j)
356:   (0.9965011353093114+0j)
357:   (0.9956834913284026+0j)
358:   (0.9951671858906459+0j)
359:   (0.9944521073979163+0j)
360:   (0.9941211906855786+0j)
361:   (0.998223890582132+0j)
362:   (0.9979185830028532+0j)
363:   (0.9974123941581636+0j)
364:   (0.9963151784685517+0j)
365:   (0.9958764073891396+0j)
366:   (0.9951605480106273+0j)
367:   (0.9947741062697769+0j)
368:   (0.9946541622147841+0j)
369:   (0.9942870516478891+0j)
370:   (0.9939340680755175+0j)
371:   (0.9992386607225634+0j)
372:   (0.998108490436128+0j)
373:   (0.9978316726573214+0j)
374:   (0.9967872917942436+0j)
375:   (0.9958995732199278+0j)
376:   (0.9957582221369102+0j)
377:   (0.9955391169669371+0j)
378:   (0.9950694075678871+0j)
379:   (0.9941728694233565+0j)
380:   (0.9935383445091021+0j)
381:   (0.9998146060725924+0j)
382:   (0.9988725832755706+0j)
383:   (0.9985168297611179+0j)
384:   (0.9982455856468888+0j)
385:   (0.9979394948479955+0j)
386:   (0.9967881582248986+0j)
387:   (0.9955204734658218+0j)
388:   (0.994883592315555+0j)
389:   (0.9942019051689452+0j)
390:   (0.9927591030799603+0j)
391:   (0.9985001618238191+0j)
392:   (0.9981057706033406+0j)
393:   (0.997616459621894+0j)
394:   (0.9978143611154615+0j)
395:   (0.9970893626968055+0j)
396:   (0.9960582653821121+0j)
397:   (0.9956684812122252+0j)
398:   (0.9951799096171474+0j)
399:   (0.9945622188065614+0j)
400:   (0.9943982365653308+0j)
401:   (0.9995587743898072+0j)
402:   (0.9991962838044982+0j)
403:   (0.9981704405397496+0j)
404:   (0.9975001817209466+0j)
405:   (0.9972344217796351+0j)
406:   (0.9966255629838192+0j)
407:   (0.9961665052165737+0j)
408:   (0.9958541524184571+0j)
409:   (0.9955022188954896+0j)
410:   (0.9955654797192879+0j)
411:   (0.9997964256641082+0j)
412:   (0.9994583414196645+0j)
413:   (0.998861422594609+0j)
414:   (0.9982687350441349+0j)
415:   (0.9977243756651777+0j)
416:   (0.9974947289271918+0j)
417:   (0.9969150640678954+0j)
418:   (0.996543382987579+0j)
419:   (0.996272578286998+0j)
420:   (0.9966922545033813+0j)
421:   (0.999325605199651+0j)
422:   (0.9988388791340146+0j)
423:   (0.998035441889059+0j)
424:   (0.9977494424933717+0j)
425:   (0.9977614527892613+0j)
426:   (0.997522640878576+0j)
427:   (0.9970086010327287+0j)
428:   (0.9964793293326258+0j)
429:   (0.9958429488442395+0j)
430:   (0.9952750032771585+0j)
431:   (0.9994910481480943+0j)
432:   (0.9989206610610966+0j)
433:   (0.9974299115439517+0j)
434:   (0.9971724639416264+0j)
435:   (0.9970063751674729+0j)
436:   (0.9963807741861104+0j)
437:   (0.9956538589081734+0j)
438:   (0.9945023913291948+0j)
439:   (0.994283421875136+0j)
440:   (0.9931367416002835+0j)
441:   (0.9990425302889498+0j)
442:   (0.9990598577959044+0j)
443:   (0.9983668625227327+0j)
444:   (0.997722309629845+0j)
445:   (0.9973263899439825+0j)
446:   (0.9965627867742487+0j)
447:   (0.9962238674894732+0j)
448:   (0.9954385174862896+0j)
449:   (0.9948998015945101+0j)
450:   (0.9940671357690396+0j)
451:   (0.9993392952073443+0j)
452:   (0.99867746941003+0j)
453:   (0.9980860283778393+0j)
454:   (0.997548905447645+0j)
455:   (0.9976666048628934+0j)
456:   (0.9969491921059807+0j)
457:   (0.9963298922085431+0j)
458:   (0.9963102062897095+0j)
459:   (0.9956140268366594+0j)
460:   (0.9948755802662461+0j)
461:   (0.9994420564426226+0j)
462:   (0.9989280997546208+0j)
463:   (0.9983977439543629+0j)
464:   (0.9979049451897839+0j)
465:   (0.9969494785342579+0j)
466:   (0.9967014579831129+0j)
467:   (0.9960654135116404+0j)
468:   (0.9953245811691066+0j)
469:   (0.9951583848600135+0j)
470:   (0.9948907520166894+0j)
471:   (0.9992269209517844+0j)
472:   (0.9984216135080421+0j)
473:   (0.998220157361461+0j)
474:   (0.9977681389337353+0j)
475:   (0.9964986105844048+0j)
476:   (0.9957145931799727+0j)
477:   (0.9952755155691838+0j)
478:   (0.9947243819822118+0j)
479:   (0.9939472194520013+0j)
480:   (0.993520206684105+0j)
481:   (0.9997311152004331+0j)
482:   (0.999521758672167+0j)
483:   (0.9990968987158956+0j)
484:   (0.998435892851989+0j)
485:   (0.9976222850970035+0j)
486:   (0.9963957417406438+0j)
487:   (0.9963162904283265+0j)
488:   (0.9957034512671512+0j)
489:   (0.9946609509719804+0j)
490:   (0.9939058276435158+0j)
491:   (0.9992141220436159+0j)
492:   (0.9983739397448353+0j)
493:   (0.9977356265975879+0j)
494:   (0.9973165191385815+0j)
495:   (0.9960438828516244+0j)
496:   (0.9955467946991996+0j)
497:   (0.9947838831228957+0j)
498:   (0.9945892059047015+0j)
499:   (0.9939547560141538+0j)
500:   (0.9925524262113183+0j)
501:   (0.9984953662358182+0j)
502:   (0.9977185388360588+0j)
503:   (0.9970757884406969+0j)
504:   (0.9962177739272459+0j)
505:   (0.9955672854860353+0j)
506:   (0.9941765944791807+0j)
507:   (0.99379092403702+0j)
508:   (0.9932615261633851+0j)
509:   (0.9926830257783881+0j)
510:   (0.9918205062522718+0j)
511:   (0.9992416467573014+0j)
512:   (0.9989936698173795+0j)
513:   (0.9987783074363715+0j)
514:   (0.9983578523094107+0j)
515:   (0.9977220213124584+0j)
516:   (0.9972569706954076+0j)
517:   (0.9965652783092955+0j)
518:   (0.9955932196058164+0j)
519:   (0.9945197669055195+0j)
520:   (0.9916753100979007+0j)
521:   (0.9981844047081704+0j)
522:   (0.998360503306187+0j)
523:   (0.9973238369785106+0j)
524:   (0.9964110452296019+0j)
525:   (0.9957443150414408+0j)
526:   (0.9956935232084184+0j)
527:   (0.9950632241969064+0j)
528:   (0.9948463650380741+0j)
529:   (0.9951147114024678+0j)
530:   (0.994731750381928+0j)
531:   (0.9999429891925823+0j)
532:   (0.9990961473655932+0j)
533:   (0.9986432605790498+0j)
534:   (0.9977070030602944+0j)
535:   (0.9971261011940499+0j)
536:   (0.9967870342240124+0j)
537:   (0.9965494437362504+0j)
538:   (0.995811479576631+0j)
539:   (0.9944679173423877+0j)
540:   (0.9940416415398007+0j)
541:   (0.9997626320140756+0j)
542:   (0.9989523164744325+0j)
543:   (0.9978010926880331+0j)
544:   (0.9974772883875094+0j)
545:   (0.9961805304874418+0j)
546:   (0.9957991258389245+0j)
547:   (0.9950986742672351+0j)
548:   (0.9944722250361567+0j)
549:   (0.9935279856168295+0j)
550:   (0.9930844291455517+0j)
551:   (0.9990084396838634+0j)
552:   (0.9982212181202023+0j)
553:   (0.9986113931702418+0j)
554:   (0.9980505478087042+0j)
555:   (0.9977349952732388+0j)
556:   (0.9964339486749934+0j)
557:   (0.9955696155855248+0j)
558:   (0.9953198315096703+0j)
559:   (0.9946377899256854+0j)
560:   (0.9938132973173401+0j)
561:   (0.9994832273956866+0j)
